HEORG_REFNO,HealthOrg_Description,Postal_Address,Postal_Suburb,Postal_State,Postal_Postcode,Fax,Phone,Work_Phone,Mobile_Phone,Email
65114,A Path Out Of Pain,395 Station Street,CARLTON NORTH,VIC,3054,03 9347 6498,03 9347 5083,NULL,NULL,rmcindoe@bigpond.com
62719,A Plus Dental Surgery - Chelsea Heights,93 Wells Road,CHELSEA HEIGHTS,VIC,3196,03 9771 7136,03 9771 7133,NULL,NULL,admin@aplusdental.com.au
67095,A Plus Optometry,"Suite 26, 204-206 Warrandyte Road",RINGWOOD NORTH,VIC,3134,NULL,03 8813 0505,NULL,NULL,info@aplusoptometry.com.au
64384,A Supa Smile,143 Maroondah Highway,CROYDON,VIC,3136,NULL,03 9723 0703,NULL,NULL,supasmile@supasmile.com.au
68698,A Team Group Fitness and Boxing,"8, 43-47 Riverside Avenue",WERRIBEE,VIC,3030,NULL,03 9731 7456,NULL,NULL,louise@ateamdietandtraining.com.au
66303,A.M Dental Clinics - Melton,371 High Street,MELTON,VIC,3337,03 9747 0888,03 9743 6565,NULL,NULL,NULL
63665,A.M Dental Clinics - Sydenham,536 Melton Highway,SYDENHAM,VIC,3037,NULL,03 9390 4533,NULL,NULL,NULL
68992,A/Prof Andrew Danks,"Monash Specialist Centre, Suite 12, Level 1, 212-220 CLAYTON ROAD",CLAYTON,VIC,3168,03 9960 6176,03 8513 9906,NULL,NULL,admin@drandrewdanks.com.au
65920,A/Prof Claudia Di Bella,"Ground Floor Suite 1, 77 Victoria Parade",FITZROY,VIC,3065,03 8676 4916,03 8456 0419,NULL,NULL,dibella.ortho@gmail.com
66844,A/Prof Donald McTaggart - Cardiologist,18 Clarence Street,EAST LAUNCESTON,TAS,7250,03 6331 8486,03 6334 1393,NULL,NULL,NULL
68356,A/Prof John Laidlaw,"Private Medical Centre, RMH, Level 3 Suite 3, 1 Royal  Parade",PARKVILLE,VIC,3052,03 9347 2633,03 9347 1533,NULL,NULL,reception.johnlaidlaw@mh.org.au
67849,A/Prof Justin A Mariani - Cardiologist,"Level 5 Suite 503, 100 Victoria Parade",EAST MELBOURNE,VIC,3002,03 9998 8301,03 9998 8300,NULL,NULL,admin@jmcardiology.com.au
61476,A/Prof Michael Leung,"South Eastern Plastic Surgeons, Mulgrave Private Hospital, Day Surgery Centre,  Blanton Drive",MULGRAVE,VIC,3170,0397926667,0397926655,NULL,NULL,NULL
64676,A/Prof Mike Starr - General Paediatrician & Paediatric Infectious Diseases Specialist,"Private Consulting Suites, Royal Children's Hospital, 48 Flemington Road",PARKVILLE,VIC,3052,03 9347 6808,03 9345 5289,NULL,NULL,NULL
64059,A/Prof Peter Barlis - Cardiology,"Level 3 Suite 31, 141 Grey Street",EAST MELBOURNE,VIC,3002,03 9928 6372,03 9928 6370,NULL,NULL,reception@peterbarlis.com.au
64198,A/Prof Raphael Hau,"Epworth Eastern East Wing Tower, LEVEL 13 SUITE 13.2, 1 ARNOLD STREET",BOX HILL,VIC,3128,03 9895 7646,03 9890 2300,NULL,NULL,NULL
65567,A/Prof S M Carden,8A Bent Street,BENTLEIGH,VIC,3204,03 9557 7140,03 9557 1402,NULL,NULL,NULL
69220,A/Prof Val Usatoff - General Surgeon - Footscray,148 Gordon Street,FOOTSCRAY,VIC,3011,03 9509 1522,03 9509 4899,NULL,NULL,usatoffrooms@hpbsurgery.com
63818,A/Prof Val Usatoff - General Surgeon - Malvern,"Cabrini Hospital, Suite 29, 183 Wattletree Road",MALVERN,VIC,3144,03 9509 1522,03 9509 4899,NULL,NULL,usatoffrooms@hpbsurgery.com
61191,A/Prof Yi Yang - Orthopaedic Surgeon,152 LENNOX STREET,RICHMOND,VIC,3121,03 9429 9114,03 9887 9386,NULL,NULL,info@spinevic.com.au
41651,A1 Doctors Surgery,50 Major Road,FAWKNER,VIC,3060,03 8677 9500,03 9359 2070,NULL,NULL,info@a1doctorssurgery.com.au
71831,A1 Doctors Surgery Sydenham,508 MELTON HIGHWAY,SYDENHAM,VIC,3037,NULL,0399697990,NULL,NULL,508melton@a1doctorssurgery.com.au
65448,A1 Function,220-224 Leura Mall,LEURA,NSW,2780,02 4744 3616,02 4784 2733,NULL,NULL,NULL
73175,AAA Access Awareness - Kew,"Level 2 Suite 211, 1 Princess Street",KEW,VIC,3101,03 9488 2524,03 9841 9393,NULL,NULL,reception@traumacentre.com.au
73176,AAA Access Awareness - Morwell,45 Buckley Street,MORWELL,VIC,3840,03 5133 6005,03 5166 5192,NULL,NULL,reception@traumacentre.com.au
73341,Abacus Learning Centre,"Abacus Learning Centre, 74 Victoria Street",HASTINGS,VIC,3915,NULL,03 5979 8891,NULL,NULL,info@abacuslearning.org.au
18056,Abberfield Aged Care Facility,376-380 Bluff Rd,Sandringham,VIC,3191,9555 0075,9555 8472,NULL,NULL,NULL
18057,Abbey Court,98 Horne St,Sunbury,VIC,3429,9740 6162,9744 3879,NULL,NULL,NULL
18058,Abbeyfield House Hostel,30 Shaw St,Mortlake,VIC,3272,5599 2796,5599 2756,NULL,NULL,NULL
18059,Abbotsford Hostel,2 Clarke St,Abbotsford,VIC,3067,9416 1316,9419 3933,NULL,NULL,NULL
73308,ABC About Bass Coast Hearing,"Plaza Walk Arcade, Shop 5, 23 29 Murray Street",WONTHAGGI,VIC,3995,NULL,03 5672 5598,NULL,NULL,hearing@abcear.com
15490,A'BECKETT ST MED CTR,25 A'BECKETT STREET,INVERLOCH,VIC,3996,5674 3252,5674 1207,NULL,NULL,NULL
61658,A'Beckett Street Medical Centre,25 A'Beckett Street,INVERLOCH,VIC,3996,03 5674 3252,03 5674 1207,NULL,NULL,wmg@wonthaggimedical.com.au
73071,Abel Hearing,170 St John Street,LAUNCESTON,TAS,7250,03 6334 9881,03 6334 4805,NULL,NULL,NULL
18060,Aberdeen Aged Care Facility,1 Aberdeen St,Reservoir,VIC,3073,9462 6466,9469 7555,NULL,NULL,NULL
63819,Aberdeen Health Rooms,38 Aberdeen Street,GEELONG WEST,VIC,3218,03 5221 2654,03 5221 5377,NULL,NULL,admin@aberdeenhealthrooms.com.au
73055,Abi Hearing Care - Cairnlea,"Cairnlea Town Centre, 100 Furlong Road",CAIRNLEA,VIC,3023,03 9397 6914,03 9399 9536,NULL,NULL,info@abihearing.com.au
72981,Abi Hearing Care - Williamstown,54 Electra Street,WILLIAMSTOWN,VIC,3016,03 9397 6914,03 9399 9536,NULL,NULL,info@abihearing.com.au
65723,Able Australia Services - Camberwell,616 Riversdale Road,CAMBERWELL,VIC,3124,03 9882 9210,1300 225 369,NULL,NULL,info@ableaustralia.org.au
73432,Able Hearing - Balaclava,336 Carlisle Street,BALACLAVA,VIC,3183,03 9530 6180,03 9530 6180,NULL,NULL,info@ablehearing.com.au
73434,Able Hearing - Brighton,161 North Road,BRIGHTON,VIC,3186,03 9530 6180,03 9530 6120,NULL,NULL,info@ablehearing.com.au
73433,Able Hearing - Noble Park,20 Douglas Street,NOBLE PARK,VIC,3174,03 9530 6180,03 9547 8202,NULL,NULL,info@ablehearing.com.au
19042,Aboriginal Community Elders Service,5 Parkview Avenue,Brunswick East,VIC,3057,03 9384 3266,03 9383 4244,NULL,NULL,NULL
63588,Aboriginal Health Hobart - Nipaluna,56 Patrick Street,HOBART,TAS,7000,03 9102 9794,03 6234 0777,NULL,NULL,ahs@tacinc.com.au
17261,ABORIGINAL HEALTH SERVICE,186 NICHOLSON STREET,FITZROY,VIC,3065,9417 3897,9419 3000,NULL,NULL,NULL
60947,Aboriginal Health Service - Launceston,182 Charles Street,LAUNCESTON,TAS,7250,03 9102 9754,03 6332 3800,NULL,NULL,launceston@tacinc.com.au
60770,Aboriginal Health Service Burnie - Pataway,53 Alexander Street,BURNIE,TAS,7320,03 9102 9703,03 6436 4100,NULL,NULL,burnie@tacinc.com.au
67771,Aboriginal Health Service Devonport - Tulaminakali,106 Best Street,DEVONPORT,TAS,7310,03 9957 0330,03 6436 4160,NULL,NULL,NULL
15491,ABORIGINAL HSERVS,120 MADDEN AVENUE,MILDURA,VIC,3500,5022 0942,5021 0315,NULL,NULL,NULL
19320,Aborigines Advancement League Inc Vic,2 Watt Street,Thornbury,VIC,3071,9416 9092,9480 6377,NULL,NULL,NULL
73363,About Bass Coast Hearing - Frankston,"Cranbourne Road Medical Centre, 116 Cranbourne Road",FRANKSTON,VIC,3199,NULL,03 5672 5598,NULL,NULL,basscoast@basscoast.vic.gov.au
73364,About Bass Coast Hearing - Inverloch,"A'Beckett St Medical Centre, 25 Abeckett Street",INVERLOCH,VIC,3996,NULL,03 5672 5598,NULL,NULL,basscoast@basscoast.vic.gov.au
63880,About Foot Care,1191 Glen Huntly Road,GLEN HUNTLY,VIC,3163,03 9572 3823,03 9572 3823,NULL,NULL,NULL
41690,Absolute Body Health,580 Centre Road,Bentleigh,VIC,3204,9803 1314,9886 1059,NULL,NULL,NULL
69479,Absolute Eyes,21 North Concourse,BEAUMARIS,VIC,3193,NULL,03 9589 0299,NULL,NULL,NULL
62282,Absolute Physiotherapy,131 High Street,PRAHRAN,VIC,3181,03 9510 6948,03 9510 3555,NULL,NULL,info@absolutephysiotherapy.com.au
66705,AC Chiropractic,568 Englehardt Street,ALBURY,NSW,2640,02 6023 5466,02 6021 3879,NULL,NULL,NULL
9732,ACA Health Benefits Fund,148 Fox Valley Road,Wahroonga,NSW,2076,(02) 9847 3219,(02) 9847 3333,NULL,NULL,NULL
18061,Acacia House,Tarcoola Village 9 Batesman Ave,Shepparton,VIC,3630,5821 3998,5833 0800,NULL,NULL,NULL
18961,ACAS - Caulfield,Caulfield General Medical Centre 260-290 Kooyong Road,Caulfield,VIC,3162,03 9076 6428,03 9076 6014,NULL,NULL,NULL
18962,ACAS - Eastern,Peter James Centre Cnr Burwood Highway & Mahoneys Road,East Burwood,VIC,3151,03 9887 6094,03 9881 1875,NULL,NULL,NULL
18957,ACAS - Heidelberg,Heidelberg Repatriation Hospital Austin Health 300 Waterdale Road,West Heidelberg,VIC,3081,03 9496 2613,03 9496 2489,NULL,NULL,NULL
18963,ACAS - Kingston,Central Bayside Community Health Services 335 Nepean Highway,Parkdale,VIC,3195,03 8587 0113,03 8587 0100,NULL,NULL,NULL
18965,ACAS - Mt Eliza,Mt Eliza Centre Jacksons Road,Mt Eliza,VIC,3930,03 9787 1410,03 9788 1276,NULL,NULL,NULL
18958,ACAS - North West,Royal Melbourne Hospital Royal Park Campus 34-54 Poplar Road,Parkville,VIC,3052,03 9388 1752,03 9387 2129,NULL,NULL,NULL
18960,ACAS - Northern Metro Bundoora,Bundoora Extended Care Centre 1231 Plenty Road,Bundoora,VIC,3083,03 9495 3183,03 9495 3109,NULL,NULL,NULL
18964,ACAS - Outer East,Angliss House 20A Albert St,Upper Ferntree Gully,VIC,3156,03 9759 1800,03 9764 6390,NULL,NULL,NULL
18966,ACAS - Shepparton Hume Regional,Centre For Older Persons Health 80 Orr St,Shepparton,VIC,3630,03 5831 8500,03 5823 6000,NULL,NULL,NULL
18956,ACAS - St Georges,St Georges Hospital 283 Cotham Road,Kew,VIC,3101,03 9816 0588,03 9816 0566,NULL,NULL,NULL
18959,ACAS - Western,Sunshine Hospital 176 Furlong Road,St Albans,VIC,3021,03 8345 1806,03 8345 1246,NULL,NULL,NULL
66387,Accent On Health Chiropractic,"Unit 3, 410 Burwood Highway",WANTIRNA SOUTH,VIC,3152,NULL,03 9887 1110,NULL,NULL,customer.service@accentonhealthchiropractic.com.au
73814,Access Allied Health & Training,68-72 ST JOHN STREET,LAUNCESTON,TAS,7250,NULL,0400836254,NULL,NULL,info@accessalliedhealth.net.au
45350,Access Health & Community,7 Samarinda Avenue,Ashburton,VIC,3147,9855 6844,9810 3000,NULL,NULL,NULL
66554,Access Health & Community - Ashburton,7 Samarinda Avenue,ASHBURTON,VIC,3147,03 9885 6844,03 9810 3000,NULL,NULL,intake@accesshc.org.au
67127,Access Health and Community - Balwyn North,"Greythorn Community Hub, 2a Centre Way",BALWYN NORTH,VIC,3104,NULL,03 9810 3000,NULL,NULL,intake@accesshc.org.au
25209,Access Health and Community - Hawthorn,378 Burwood Road,HAWTHORN,VIC,3122,03 9818 6714,03 9810 3000,NULL,NULL,recept.haw@accesshc.org.au
50191,Access Health and Community - Richmond,21-31 GOODWOOD STREET,RICHMOND,VIC,3121,03 9425 9551,03 9810 3000,NULL,NULL,recept.rich@accesshc.org.au
15493,Access Medical Group - Knox,1 Rezes Street,WANTIRNA SOUTH,VIC,3152,03 9887 3931,03 9887 0211,NULL,NULL,accmed@accessmedical.com.au
15492,Access Medical Group - Wheelers Hill,2 Magid Avenue,WHEELERS HILL,VIC,3150,03 9562 2996,03 9562 2288,NULL,NULL,amgwh@accessmedical.com.au
62208,Access Psychology,"Warrnambool Allied Health Clinic, 2 Fitzroy Road",WARRNAMBOOL,VIC,3280,03 5561 6567,03 5562 0239,NULL,NULL,access@accesspsychology.net.au
72157,Access Telehealth,"Level 1, 366 BOUNDARY ROAD",DINGLEY VILLAGE,VIC,3172,03 9923 6738,1300 886 077,NULL,NULL,NULL
68518,Access To Health,"Suite 6, 117 Holmes Road",MOONEE PONDS,VIC,3039,03 9326 2141,03 9326 2142,NULL,NULL,accesstohealth@bigpond.com
73430,Ace Audiology - Hearing Aids & Hearing Tests - Bulleen,"Bulleen Plaza Shopping Centre, Shop 29, 79-109 Manningham Road",BULLEEN,VIC,3105,NULL,03 9850 8888,NULL,NULL,reception@aceaudiology.com.au
60337,Ace Audiology- Glen Iris,1486 High Street,GLEN IRIS,VIC,3146,NULL,03 9850 8888,NULL,NULL,reception@aceaudiology.com.au
63651,ACE Children's Health,955 WELLINGTON STREET,STRATHFIELDSAYE,VIC,3551,03 4344 0670,0354394319,NULL,NULL,NULL
18062,ACES - IRIS Lovett- Gardiner Caring Place (Koorie Com),6 Parkview Ave,East Brunswick,VIC,3057,9384 1552,9384 4244,NULL,NULL,NULL
63740,Achernar Dental Care,"Suite 12, 240 Plenty Road",BUNDOORA,VIC,3083,03 9467 3371,03 9467 3332,NULL,NULL,info@achernardentalcare.com
69169,Acheshifters,282 George Street,DENILIQUIN,NSW,2710,NULL,0408 363 983,NULL,NULL,NULL
68503,Achieve Myotherapy,11 Watermark Way,POINT COOK,VIC,3030,NULL,03 9395 4446,NULL,NULL,NULL
64263,Ackers Chiropractic - Taylors Lakes,"Suite 2, 1 Melton Highway",TAYLORS LAKES,VIC,3038,NULL,03 9390 9785,NULL,NULL,NULL
63454,Ackers Chiropractic - Tullamarine,220 Mickleham Road,GLADSTONE PARK,VIC,3043,03 9330 2294,03 9330 2234,NULL,NULL,NULL
66118,Acland Street Dental Group,"Suite 2, 128 Acland Street",ST KILDA,VIC,3182,03 9534 5752,03 9537 2787,NULL,NULL,NULL
15495,Acland Street Medical Centre,169 Acland Street,ST KILDA,VIC,3182,0395340637,0395340635,NULL,NULL,pm@aclandstreetmedical.com.au
73445,Acoustic Health,46 McCallum Street,SWAN HILL,VIC,3585,03 5032 4649,03 5032 4646,NULL,NULL,acoustichealth@gmail.com
66580,Acoustic Hearing Services,"Suite 2, 158 Lime Avenue",MILDURA,VIC,3500,03 5023 5131,03 5021 3218,NULL,NULL,pkahspk@bigpond.com
63929,Act With Purpose Psychology,151 WESTON STREET,BRUNSWICK,VIC,3056,03 7018 3564,03 8595 3047,NULL,NULL,info@actwithpurpose.com.au
67519,Action Physio - The Hills,1 Church Street,KALLISTA,VIC,3791,03 9755 2792,03 9755 1990,NULL,NULL,NULL
63403,Action Rehab - Berwick,99 Bay Street,BRIGHTON,VIC,3186,1300 766 313,1300 762 227,NULL,NULL,inactive@hts.invalid
66201,Action Sports & Spinal Physiotherapy - Blackburn,26 Raymond Street,BLACKBURN NORTH,VIC,3130,1300 885 168,0410 543 186,NULL,NULL,NULL
64899,Action Sports & Spinal Physiotherapy - Dandenong,92 Cleeland Street,DANDENONG,VIC,3175,1300 885 168,03 9791 8757,NULL,NULL,action.physio.dandenong@iinet.net.au
64089,Activ8 Physio,1323 High Street,MALVERN,VIC,3144,03 9821 0642,03 9824 8188,NULL,NULL,active@activ8physio.com.au
64127,Activate Life Rehabilitation,260 Steele Street,DEVONPORT,TAS,7310,08 6406 1622,0420 986 347,NULL,NULL,NULL
72999,Active Audiology - Altona,"Shop 10, Harrington Square",ALTONA,VIC,3018,03 9398 3339,03 9398 3331,NULL,NULL,vy@activeaudiology.com.au
63807,Active Audiology - Balwyn,463 Whitehorse Road,BALWYN,VIC,3103,03 9830 7754,03 9830 7707,NULL,NULL,vy@activeaudiology.com.au
73000,Active Audiology - Burwood East,"Ground Floor  Shop 11a, 40 Burwood Highway",BURWOOD EAST,VIC,3151,03 9888 7955,03 9888 8855,NULL,NULL,info@activeaudiology.com.au
67789,Active Balance Sports and Spinal Osteopathic Clinic,16 Kirtain Drive,CROYDON,VIC,3136,03 9733 0687,03 9016 8366,NULL,NULL,NULL
65097,Active Foot Clinic - Albury,521 Kiewa Street,ALBURY,NSW,2640,NULL,02 6021 3388,NULL,NULL,podiatry@activefootclinic.com.au
60440,Active Health Clinic,"Ground Floor, 20 Albert Street",BLACKBURN,VIC,3130,03 8691 1303,03 9878 5394,NULL,NULL,admin@activehealthclinic.com.au
41670,Active Health Portland,148-150 Percy Street,PORTLAND,VIC,3305,03 5522 1210,03 5522 1200,NULL,NULL,reception@activehealthportland.com.au
64634,Active Health Solutions - Doncaster,145 Blackburn Road,DONCASTER EAST,VIC,3109,03 9842 2599,03 9842 6696,NULL,NULL,ahsde@bigpond.net.au
67016,Active Kids OT,Confidental Address,KALLISTA,VIC,3791,NULL,0425 711 279,NULL,NULL,NULL
67481,Active Life Health Care,12 Wyndham Street,SHEPPARTON,VIC,3630,03 5821 6453,03 5821 0752,NULL,NULL,maggieturner@bigpond.com
33551,Active Medical,228-232 Caroline Springs Boulevard,CAROLINE SPRINGS,VIC,3023,03 8390 4399,03 9363 0954,NULL,NULL,frontdesk@activemed.com.au
31970,Active Medical Centre,253 Doonside Crescent,Doonside,NSW,2767,02 9621 1777,02 9621 7000,NULL,NULL,NULL
64475,Active Mobile Massage,152 Station Road,MELTON,VIC,3337,NULL,03 9747 6906,NULL,NULL,NULL
68547,Active One Group - Hampton,1 Moffat Street,BRIGHTON,VIC,3186,03 8707 0778,03 8707 0830,NULL,NULL,info@activeonegroup.com
65964,Active Orthopaedic Centre - Box Hill,"Epworth Eastern Box Hill, East Wing Tower, Level 9, Suite 9.4, 1 ARNOLD STREET",BOX HILL,VIC,3128,03 9934 8834,03 9934 8800,NULL,NULL,enquiries@activeorthopaediccentre.com.au
61899,Active Physiotherapy Mount Waverley (Main),501 Waverley Road,MOUNT WAVERLEY,VIC,3149,03 9886 8156,03 9803 8422,NULL,NULL,office@activephysiotherapy.com.au
68064,Active Podiatry - Bendigo,18 Eaglehawk Road,IRONBARK,VIC,3550,03 5406 0960,03 5442 2289,NULL,NULL,activepodiatry@gmail.com
62236,Active Sports and Spinal Physiotherapy,351 Main Street,LILYDALE,VIC,3140,03 9735 5982,03 9735 7733,NULL,NULL,reception@activesportsphysio.com.au
22385,ActiveOne Group - Frankston,25 Yuille Street,FRANKSTON,VIC,3199,03 8707 0778,03 8707 0830,NULL,NULL,info@activeonegroup.com
66578,Acu Centre,"Suite 2, 219 229 Balaclava Road",CAULFIELD NORTH,VIC,3161,03 9532 9602,03 9532 9602,NULL,NULL,NULL
61472,ACU Medical Centre Melbourne,"The Daniel Mannix Building, Mezzanine Level, 17-29 YOUNG STREET",FITZROY,VIC,3065,03 9495 6984,03 9953 3762,NULL,NULL,medicalcentremelb@acu.edu.au
24009,Acuity Eyecare - Epping,"Epping Medical Centre, 230 Cooper Street",EPPING,VIC,3076,03 9113 9318,03 9113 9317,NULL,NULL,epping@acuityeyecare.com.au
37331,Acuity Eyecare - Wallan,"Wellington Square Shopping Centre, 81 High Street",WALLAN,VIC,3756,03 5783 3755,03 5783 3711,NULL,NULL,wallan@acuityeyecare.com.au
66769,Acuity Psychological Services - East Malvern,1133 Dandenong Road,MALVERN EAST,VIC,3145,03 9572 2164,03 9572 2163,NULL,NULL,therese@acuitypsychologicalservices.com.au
61143,Acuity Psychological Services - Hawthorn,"Suite 1, 821 Glenferrie Road",HAWTHORN,VIC,3122,NULL,0419157585,NULL,NULL,meallin@hotmail.com
69422,Acuity Psychological Services - Melbourne CBD,"ACA BUILDING, Level 10 Suite 1B, 118 Queen Street",MELBOURNE,VIC,3000,03 9572 2164,03 9572 2163,NULL,NULL,therese@acuitypsychologicalservices.com.au
69143,Acupuncture 365,"Level 9 Suite 908, 365 Little Collins Street",MELBOURNE,VIC,3000,NULL,0439 303 000,NULL,NULL,NULL
68633,Acupuncture and Physiotherapy Clinic,49A Windsor Avenue,SPRINGVALE,VIC,3171,NULL,03 9546 1503,NULL,NULL,duongdhuynh@yahoo.com
